metric_key,economic_category,cou_metric_key,year,GDP,GDP_15,GDP_PC,GDP_PC_PPP,GDP_PC_PPP_17,GDP_PEMP,GDP_PPP,MFG_VA,ELC_POP,ELC_RUR_POP,CO2GDP,AtmCO2
developed-2004,Developed,france-2004,2004,2119633181634.37,2188393293109.35,34899.8763766384,29060.4509858357,41272.6323754944,98915.2644362608,1822232702082.18,12.6847177173494,100.0,100.0,0.143,0.199
developed-2005,Developed,france-2005,2005,2196945232435.8,2224791087607.91,35213.893088874,30498.5768807102,41643.9888864457,99277.1856122359,1926880446239.76,12.2492999340282,100.0,100.0,0.141,0.206
developed-2013,Developed,france-2013,2013,2811876903329.03,2389493466482.81,36205.1678224014,39523.8551519345,42816.2714819044,103292.325086266,2608522466158.15,10.3543424795802,100.0,100.0,0.117,0.183
developed-2014,Developed,france-2014,2014,2855964488590.19,2412341398046.84,36378.6186614699,40144.0268283679,43021.3946358903,104773.165067108,2662033396692.53,10.2804260000512,100.0,100.0,0.105,0.17
developed-2015,Developed,france-2015,2015,2439188643162.5,2439188643162.5,36652.9223052178,40849.9973780501,43345.7864281559,105727.3493844,2718496736713.76,10.4336636293504,100.0,100.0,0.106,0.161
developed-2016,Developed,france-2016,2016,2472964344587.17,2465909086487.94,36956.7958003293,42924.613626021,43705.1475593257,106470.88710102,2864106383742.44,10.2830230483558,100.0,100.0,0.105,0.167
developed-2017,Developed,france-2017,2017,2595151045197.65,2522413420333.78,37694.0833027304,44577.0645745394,44577.0645745394,107997.74297846,2983008898740.32,10.136285162817,100.0,100.0,0.104,0.145
developed-2018,Developed,france-2018,2018,2790956878746.66,2569458097202.24,38291.8657809431,46576.6018489382,45284.0027939624,109074.734552828,3125379876905.32,9.97175143633537,100.0,100.0,0.099,0.139
developed-2019,Developed,france-2019,2019,2728870246705.88,2616812485718.01,38912.3312648593,49072.3638300842,46017.7659610004,110592.531486091,3300063763854.41,10.0078149517873,100.0,100.0,0.095,0.129
developed-2000,Developed,germany-2000,2000,1947981991011.77,2835481139992.39,34490.0757688619,27199.0440906856,42928.1813366719,96215.267035985,2236074430853.75,20.5459700629181,100.0,100.0,0.231,0.185
developed-2001,Developed,germany-2001,2001,1945790973803.15,2883158861645.24,35011.068457503,28368.543282612,43576.6365260124,97269.7140456262,2336147411682.35,20.3411674813812,100.0,100.0,0.232,0.172
developed-2002,Developed,germany-2002,2002,2078484517474.51,2877450961484.29,34883.0580735445,29178.6374658122,43417.3079988044,97719.6685692075,2406901890705.46,19.7899113788146,100.0,100.0,0.229,0.175
developed-2003,Developed,germany-2003,2003,2501640388482.35,2857305447168.18,34619.6640670185,29908.1395291325,43089.4738197519,97944.734651888,2468443651729.98,19.8395709835095,100.0,100.0,0.231,0.181
developed-2004,Developed,germany-2004,2004,2814353869359.08,2890881304361.69,35034.0806086181,31333.8363031281,43605.2786723109,100632.558809701,2585550983186.35,20.0338560543111,100.0,100.0,0.224,0.171
developed-2005,Developed,germany-2005,2005,2846864211175.1,2912034089955.56,35310.4704669272,31794.0960095207,43949.2881791796,98956.7266937284,2622040720917.68,20.0697457949316,100.0,100.0,0.217,0.165
